date,year,month,day,weekday,hour,is_weekend
2023-01-24,2023,1,24,1,8,False
2023-01-24,2023,1,24,1,9,False
2023-01-24,2023,1,24,1,10,False
2023-01-24,2023,1,24,1,11,False
2023-01-24,2023,1,24,1,12,False
2023-01-24,2023,1,24,1,13,False
2023-01-24,2023,1,24,1,14,False
2023-01-24,2023,1,24,1,15,False
2023-01-24,2023,1,24,1,16,False
2023-01-24,2023,1,24,1,17,False
2023-01-24,2023,1,24,1,18,False
2023-01-24,2023,1,24,1,19,False
2023-01-24,2023,1,24,1,20,False
2023-01-24,2023,1,24,1,21,False
2023-01-24,2023,1,24,1,22,False
2023-01-24,2023,1,24,1,23,False
2023-01-25,2023,1,25,2,0,False
2023-01-25,2023,1,25,2,1,False
2023-01-25,2023,1,25,2,2,False
2023-01-25,2023,1,25,2,3,False
2023-01-25,2023,1,25,2,4,False
2023-01-25,2023,1,25,2,5,False
2023-01-25,2023,1,25,2,6,False
2023-01-25,2023,1,25,2,7,False
2023-01-25,2023,1,25,2,8,False
2023-01-25,2023,1,25,2,9,False
2023-01-25,2023,1,25,2,10,False
2023-01-25,2023,1,25,2,11,False
2023-01-25,2023,1,25,2,12,False
2023-01-25,2023,1,25,2,13,False
2023-01-25,2023,1,25,2,14,False
2023-01-25,2023,1,25,2,15,False
2023-01-25,2023,1,25,2,16,False
2023-01-25,2023,1,25,2,17,False
2023-01-25,2023,1,25,2,18,False
2023-01-25,2023,1,25,2,19,False
2023-01-25,2023,1,25,2,20,False
2023-01-25,2023,1,25,2,21,False
2023-01-25,2023,1,25,2,22,False
2023-01-25,2023,1,25,2,23,False
2023-01-26,2023,1,26,3,0,False
2023-01-26,2023,1,26,3,1,False
2023-01-26,2023,1,26,3,2,False
2023-01-26,2023,1,26,3,3,False
2023-01-26,2023,1,26,3,4,False
2023-01-26,2023,1,26,3,5,False
2023-01-26,2023,1,26,3,6,False
2023-01-26,2023,1,26,3,7,False
2023-01-26,2023,1,26,3,8,False
2023-01-26,2023,1,26,3,9,False
2023-01-26,2023,1,26,3,10,False
2023-01-26,2023,1,26,3,11,False
2023-01-26,2023,1,26,3,12,False
2023-01-26,2023,1,26,3,13,False
2023-01-26,2023,1,26,3,14,False
2023-01-26,2023,1,26,3,15,False
2023-01-26,2023,1,26,3,16,False
2023-01-26,2023,1,26,3,17,False
2023-01-26,2023,1,26,3,18,False
2023-01-26,2023,1,26,3,19,False
2023-01-26,2023,1,26,3,20,False
2023-01-26,2023,1,26,3,21,False
2023-01-26,2023,1,26,3,22,False
2023-01-26,2023,1,26,3,23,False
2023-01-27,2023,1,27,4,0,False
2023-01-27,2023,1,27,4,1,False
2023-01-27,2023,1,27,4,2,False
2023-01-27,2023,1,27,4,3,False
2023-01-27,2023,1,27,4,4,False
2023-01-27,2023,1,27,4,5,False
2023-01-27,2023,1,27,4,6,False
2023-01-27,2023,1,27,4,7,False
2023-01-27,2023,1,27,4,8,False
2023-01-27,2023,1,27,4,9,False
2023-01-27,2023,1,27,4,10,False
2023-01-27,2023,1,27,4,11,False
2023-01-27,2023,1,27,4,12,False
2023-01-27,2023,1,27,4,13,False
2023-01-27,2023,1,27,4,14,False
2023-01-27,2023,1,27,4,15,False
2023-01-27,2023,1,27,4,16,False
2023-01-27,2023,1,27,4,17,False
2023-01-27,2023,1,27,4,18,False
2023-01-27,2023,1,27,4,19,False
2023-01-27,2023,1,27,4,20,False
2023-01-27,2023,1,27,4,21,False
2023-01-27,2023,1,27,4,22,False
2023-01-27,2023,1,27,4,23,False
2023-01-28,2023,1,28,5,0,True
2023-01-28,2023,1,28,5,1,True
2023-01-28,2023,1,28,5,2,True
2023-01-28,2023,1,28,5,3,True
2023-01-28,2023,1,28,5,4,True
2023-01-28,2023,1,28,5,5,True
2023-01-28,2023,1,28,5,6,True
2023-01-28,2023,1,28,5,7,True
2023-01-28,2023,1,28,5,8,True
2023-01-28,2023,1,28,5,9,True
2023-01-28,2023,1,28,5,10,True
2023-01-28,2023,1,28,5,11,True
2023-01-28,2023,1,28,5,12,True
2023-01-28,2023,1,28,5,13,True
2023-01-28,2023,1,28,5,14,True
2023-01-28,2023,1,28,5,15,True
2023-01-28,2023,1,28,5,16,True
2023-01-28,2023,1,28,5,17,True
2023-01-28,2023,1,28,5,18,True
2023-01-28,2023,1,28,5,19,True
2023-01-28,2023,1,28,5,20,True
2023-01-28,2023,1,28,5,21,True
2023-01-28,2023,1,28,5,22,True
2023-01-28,2023,1,28,5,23,True
2023-01-29,2023,1,29,6,0,True
2023-01-29,2023,1,29,6,1,True
2023-01-29,2023,1,29,6,2,True
2023-01-29,2023,1,29,6,3,True
2023-01-29,2023,1,29,6,4,True
2023-01-29,2023,1,29,6,5,True
2023-01-29,2023,1,29,6,6,True
2023-01-29,2023,1,29,6,7,True
2023-01-29,2023,1,29,6,8,True
2023-01-29,2023,1,29,6,9,True
2023-01-29,2023,1,29,6,10,True
2023-01-29,2023,1,29,6,11,True
2023-01-29,2023,1,29,6,12,True
2023-01-29,2023,1,29,6,13,True
2023-01-29,2023,1,29,6,14,True
2023-01-29,2023,1,29,6,15,True
2023-01-29,2023,1,29,6,16,True
2023-01-29,2023,1,29,6,17,True
2023-01-29,2023,1,29,6,18,True
2023-01-29,2023,1,29,6,19,True
2023-01-29,2023,1,29,6,20,True
